,survey structure,,,,,survey site,,,,,site locality,,,,,,Survey site geometry,,,,,,,,,Survey date and temporal scope,,,,Methods,,,,sampling protocol,,,,absence,,abundance,,,material samples,,vouchers,,other,,,,,SCOPE,taxonomic scope,,,,,,,,,organismal scope,,,,,,,,,,habitat scope,,SAMPLING EFFORT,,,,,
Namespace abbreviation,dwc,dwc,eco,eco,dwc,eco,dwc,eco,eco,eco,dwc,dwc,dwc,dwc,dwc,dwc,eco,eco,eco,eco,dwc,dwc,dwc,dwc,eco,dwc,dwc,eco,eco,dwc,eco,eco,eco,dwc,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,,,dwc,dwc,eco,eco,eco,eco,eco,eco,eco,eco,eco,dwc,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,eco,dwc,eco,eco,eco,eco,eco
Term,parentEventID,eventID,siteNestingDescription,siteCount,fieldNumber,verbatimSiteNames,habitat,verbatimSiteDescriptions ,reportedWeather,reportedExtremeConditions,locationID,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,locality,totalAreaSampledValue,totalAreaSampledUnit,geospatialScopeAreaValue,geospatialScopeAreaUnit,sampleSizeValue,sampleSizeUnit,footprintWKT ,footprintSRS,isVegetationCoverReported,eventDate,eventTime,eventDurationValue,eventDurationUnit,eventType,inventoryTypes,compilationTypes,compilationSourceTypes ,samplingProtocol,protocolNames,protocolDescriptions,protocolReferences,isAbsenceReported,absentTaxa,isAbundanceReported,isAbundanceCapReported,abundanceCap,hasMaterialSamples,materialSampleTypes,hasVouchers,voucherInstitutions,isLeastSpecificTargetCategoryQuantityInclusive,dwc:dataGeneralizations,dwc:informationWithheld,fieldNotes,eventRemarks,verbatimTargetScope,targetTaxonomicScope,excludedTaxonomicScope,isTaxonomicScopeFullyReported,taxonCompletenessReported,taxonCompletenessProtocols,hasNonTargetTaxa,areNonTargetTaxaFullyReported,nonTargetTaxa,identifiedBy,targetLifeStageScope,excludedLifeStageScope,isLifeStageScopeFullyReported,targetDegreeOfEstablishmentScope,excludedDegreeOfEstablishmentScope,isDegreeOfEstablishmentScopeFullyReported,targetGrowthFormScope,eco:excludedGrowthFormScope,isGrowthFormScopeFullyReported,hasNonTargetOrganisms,targetHabitatScope,excludedHabitatScope,samplingEffort,isSamplingEffortReported,samplingEffortProtocol,samplingEffortValue,samplingEffortUnit,samplingPerformedBy
Definition,An identifier for the broader dwc:Event that groups this and potentially other dwc:Events.,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,Textual description of the hierarchical sampling design.,Total number of individual sites surveyed during the dwc:Event.,An identifier given to the dwc:Event in the field. Often serves as a link between field notes and the dwc:Event.,A list (concatenated and separated) of original site names.,A category or description of the habitat in which the dwc:Event occurred.,Original textual description of the site(s).,A list of weather or climatic conditions present during the dwc:Event.,A description of any extreme weather or environmental conditions that may have affected the dwc:Event.,An identifier for the set of dcterms:Location information. May be a global unique identifier or an identifier specific to the data set.,The standard code for the country in which the dcterms:Location occurs.,"The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.","The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in dwc:decimalLatitude and dwc:decimalLongitude are based.",The specific description of the place.,The numeric value for the total area surveyed during the dwc:Event.,The units associated with eco:totalAreaSampledValue,The numeric value for the total area of the geospatial scope of the dwc:Event.,The units associated with eco:totalAreaSampledValue,"A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling dwc:Event.","The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling dwc:Event.","A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the dcterms:Location. A dcterms:Location may have both a point-radius representation (see dwc:decimalLatitude) and a footprint representation, and they may differ from each other.","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geometry given in dwc:footprintWKT is based.",A vegetation cover metric was reported.,"The date-time or interval during which a dwc:Event occurred. For occurrences, this is the date-time when the dwc:Event was recorded. Not suitable for a time in a geological context.",The time or interval during which a dwc:Event occurred.,The numeric value for the duration of the dwc:Event.,The units associated with the eco:eventDurationValue.,The nature of the dwc:Event.,The types of search processes used to conduct the inventory.,"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both.",The types of data sources contributing to the compilation reported.,"The names of, references to, or descriptions of the methods or protocols used during a dwc:Event.",Categorical descriptive names for the methods used during the dwc:Event.,A detailed description of the methods used during the dwc:Event.,The references to the methods used during the dwc:Event.,Taxonomic absences were reported.,A list (concatenated and separated) of taxa reported absent during the dwc:Event.,The number of dwc:Organisms collected or observed was reported.,"A maximum number of dwc:Organisms was reported, as specified or restricted by the protocol used.",The reported maximum number of dwc:Organisms.,Material samples were collected during the dwc:Event.,A list (concatenated and separated) of material sample types collected during the dwc:Event.,Specimen vouchers were collected during the dwc:Event.,A list (concatenated and separated) of the names or acronyms of the institutions where vouchers collected during the dwc:Event were deposited.,The total detected quantity for a dwc:Taxon (including subcategories thereof) in a dwc:Event is given explicitly in a single record (dwc:organismQuantity value) for that dwc:Taxon.,,,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the dwc:Event.",Comments or notes about the dwc:Event.,The verbatim original description of the dwc:Event scope.,The taxonomic group(s) targeted for sampling during the dwc:Event.,The taxonomic group(s) explicitly excluded from sampling during the dwc:Event.,"Every dwc:Organism that was included within the taxonomic scope, and was detected during the dwc:Event, was reported.",Statement about whether the taxonomic completeness of the dwc:Event was assessed.,"A description of or reference (publication, URL) to the methods used to determine eco:taxonCompletenessReported.",One or more dwc:Organisms of taxa outside the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) were detected and reported for this dwc:Event.,"Every dwc:Organism that was outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) and detected during the dwc:Event, and that was detectable using the given protocol (given in eco:protocolDescription and dwc:samplingProtocol), was reported.",A list (concatenated and separated) of taxa reported during the dwc:Event that are outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope).,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the dwc:Taxon to the subject.",The age classes or life stages of the dwc:Organisms targeted for sampling during the dwc:Event.,The age classes or life stages of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Every dwc:Organism that was included within the life stage scope, and was detected during the dwc:Event, was reported.",The degrees of establishment of the dwc:Organisms targeted for sampling during the dwc:Event.,The degrees of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Every dwc:Organism that was included within the degree of establishment scope, and was detected during the dwc:Event, was reported.",The growth forms or habits of the dwc:Organisms targeted for sampling during the dwc:Event.,The growth forms or habits of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Every dwc:Organism that was included within the growth form scope, and was detected during the dwc:Event, was reported.","One or more dwc:Organisms outside the target organismal scopes (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:targetLifeStageScope) were detected and reported for this dwc:Event.",The habitats targeted for sampling during the dwc:Event.,The habitats explicitly excluded from sampling during the dwc:Event.,The amount of effort expended during a dwc:Event.,The sampling effort associated with the dwc:Event was reported.,A description of or reference (publication or URL) to the methods used to determine the sampling effort.,The numeric value for the sampling effort expended during the dwc:Event.,The units associated with the eco:samplingEffortValue.,"A person, group, or organization responsible for recording the dwc:Event."
Comments,Use a globally unique identifier for a dwc:Event or an identifier for a dwc:Event that is specific to the data set.,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,,,"Recommended best practice is to use an ISO 3166-1-alpha-2 country code. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",,,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value unknown. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Less specific geographic information can be provided in other geographic terms (dwc:higherGeography, dwc:continent, dwc:country, dwc:stateProvince, dwc:county, dwc:municipality, dwc:waterBody, dwc:island, dwc:islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.",This area is always less than or equal to the eco:geospatialScopeAreaValue. An eco:totalAreaSampledValue must have a corresponding eco:totalAreaSampledUnit.,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",Geospatial scope refers to the dwc:Event location reported using the terms organized in Darwin Core under dcterms:Location. This area is always greater than or equal to the eco:totalAreaSampledValue. An eco:geospatialScopeAreaValue must have a corresponding eco:geospatialScopeAreaUnit.,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",A dwc:sampleSizeValue must have a corresponding dwc:sampleSizeUnit.,"A dwc:sampleSizeUnit must have a corresponding dwc:sampleSizeValue, e.g., 5 for dwc:sampleSizeValue with m for dwc:sampleSizeUnit. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","	Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value unknown. It is also permitted to provide the SRS in Well-Known-Text, especially if no EPSG code provides the necessary values for the attributes of the SRS. Do not use this term to describe the SRS of the dwc:decimalLatitude and dwc:decimalLongitude, nor of any verbatim coordinates - use the dwc:geodeticDatum and dwc:verbatimSRS instead. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",Typically values or descriptions of vegetation cover would be captured under the term eco:verbatimSiteDescriptions.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,Recommended best practice is to use a time of day that conforms to ISO 8601-1:2019.,An eco:eventDurationValue must have a corresponding eco:eventDurationUnit.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Recommended best practice is to use a controlled vocabulary. Regardless of the dwc:eventType, the interval of the dwc:Event can be captured in dwc:eventDate. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","	This term is only relevant if the dwc:Event represents an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","	This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Recommended best practice is describe a dwc:Event with no more than one sampling protocol. In the case of a summary Event with multiple protocols, in which a specific protocol can not be attributed to specific dwc:Occurrences, the recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","	Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This description should be associated with protocols provided in eco:protocolNames. The description may include deviations from a protocol referred to in eco:protocolReferences. Recommended good practice is to provide information about instruments used, calibration, etc. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).",Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,Absences can be reported at any taxonomic level.,"Absences can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",Typically the abundance values would be reported in the dwc:organismQuantity and dwc:organismQuantityType terms for the child dwc:Occurrence records for this dwc:Event.,Values of abundance cap should be captured under the term eco:abundanceCap.,,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",,Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"Recommended values are 'true' and 'false'. This term is only relevant if dwc:organismQuantity is a number. For a detailed explanation, see http://rs.tdwg.org/eco/docs/inclusive/.",,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",,"Recommended best practice is first to populate explicit scope terms to the fullest extent possible (e.g., eco:targetTaxonomicScope). It is not recommended to use this term in assessing absence or completeness.","The dwc:Event to which the eco:targetTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all taxonomic groups surveyed in the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","The dwc:Event to which the eco:excludedTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the taxonomic groups explicitly excluded from the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the taxonomic scope and detected during the dwc:Event were reported, the value should be 'true'. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope.","This term is meant to alert users that the inventory was conducted in such a way that all of the target taxa (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) should have been detectable if they were present during the dwc:Event. This term can provide data users with a qualitative measure of how comprehensively an area has been surveyed, which assists in interpreting species populations, areas of occupancy, inferring species absences, etc. This term is only relevant if the dwc:Event used restricted search or open search methods. If taxonomic completeness was assessed, the methods used or an explanation of the basis of the completeness should be stated in eco:taxonCompletenessProtocols. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/tcr/. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term allows users to determine how comprehensively an area has been sampled. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is meant to alert users to the presence of non-target taxa (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Examination of the taxonomic scope is needed in order to identify the non-target taxa. It should be possible to confirm the expectations by investigating the dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available) or by exploring eco:nonTargetTaxa for this dwc:Event (if populated). The value of this term should be 'true' if dwc:Occurrences of taxa outside the taxonomic scope as defined at the time of the dwc:Event are reported, otherwise the value of this term should be 'false'.","This term is meant to inform a user of the data whether there were non-target taxa that were detected, but left unreported. This term is only relevant if the dwc:Event used restricted search or open search methods and if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Within dwc:Events that used either a restricted search or an open search method and declared a taxonomic scope, if all dwc:Organisms that are not included within the target taxonomic scope and that were detected during the dwc:Event were reported, the value of this term should be 'true', otherwise the value of this term should be ‘false'.","This term is meant to allow the full list of taxa that are considered outside of the taxonomic scope and yet were reported in the dataset to be shared. This term is relevant only if a target taxonomic scope is declared and eco:hasNonTargetTaxa is ‘true’. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Non-target taxa (in some disciplines called “bycatch”) can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","When used in the context of an Event (such as in the Humboldt Extension), the subject consists of all of the dwc:Organisms related to the Event. Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is defined based on dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use the same controlled vocabulary as for dwc:lifeStage and to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is defined based on dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use the same controlled vocabulary as for dwc:lifeStage and to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the life stage scope and detected during the dwc:Event were reported, the value should be 'true'. Life stage scope is based on the combination of eco:targetLifeStageScope and eco:excludedLifeStageScope.","Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the degree of establishment scope and detected during the dwc:Event were reported, the value should be 'true'. Degree of establishment scope is based on the combination of eco:targetDegreeOfEstablishmentScope and eco:excludedDegreeOfEstablishmentScope.","Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the growth form scope and detected during the dwc:Event were reported, the value should be 'true'. Growth form scope is based on the combination of eco:targetGrowthFormScope and eco:excludedGrowthFormScope.","This term is meant to alert users to the presence of non-target organisms (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target organismal scope is declared. Organismal scope is based on the combination of all of the following terms: eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:excludedGrowthFormScope. Examination of the organismal scope is needed in order to identify the non-target dwc:Organisms. It should be possible to confirm the expectations by investigating the dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available). The value of this term should be 'true' if dwc:Occurrences of dwc:Organisms outside the organismal scope(s) as defined at the time of the dwc:Event are reported, otherwise the value of this term should be 'false'.","Recommended best practice is to use a controlled vocabulary and separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",,Typically values of effort would be captured under the terms eco:samplingEffortValue and eco:samplingEffortUnit.,"This description should be associated with the values reported in eco:samplingEffortValue and eco:samplingEffortUnit. This is a specialization of eco:protocolDescription focused on effort, distinct from the survey method. The effort relates to the intensity of sampling and therefore can assist in interpreting estimates of completeness. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",This term is meant to capture the total sampling effort value. To express details of how the effort was determined use eco:samplingEffortProtocol. For compilations it is recommend not to infer effort. An eco:samplingEffortValue must have a corresponding eco:samplingEffortUnit.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","The sampling dwc:Event could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the organizations or people involved in the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
Recommended usage,REQUIRED for nested hierarchies,REQUIRED,RECOMMENDED,RECOMMENDED,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,Share if available.,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,Share if available.,Share if available.,Share if available.,Share if available.,RECOMMENDED,REQUIRED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED if applicable,RECOMMENDED if applicable,RECOMMENDED if applicable,REQUIRED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,Share if available.,RECOMMENDED,RECOMMENDED,Share if available.,RECOMMENDED,Share if available.,RECOMMENDED,Share if available.,RECOMMENDED,Share if available.,Share if available.,Share if available.,Share if available.,RECOMMENDED,RECOMMENDED,Share if available.,Share if available.,Share if available.,Share if available.,RECOMMENDED,Share if available.,Share if available.,,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,Share if available.,RECOMMENDED,Share if available.,Share if available.,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED
Usage comments,,,,,,,,,,,All sampling Events at the same location must share the same dwc:locationID,,"dwc:decimalLatitude, dwc:decimalLongitude, dwc:geodeticDatum and should be populated as a group.",,,,eco:totalAreaSampledValue and eco:totalAreaSampledUnit should be populated as a pair.,,eco:geospatialScopeAreaValue and eco:geospatialScopeAreaUnit should be populated as a pair.,,dwc:sampleSizeValue and dwc:sampleSizeUnit are paired terms and should be populated together.,,"dwc:footprintWKT and dwc:footprintSRS should be populated as a pair.
Nested datasets should share the geometry of the full study area at the parent Event level.
",,,Each dwc:parentEventID and dwc:eventID must have an event date,,eco:eventDurationValue and eco:eventDurationUnit are paired terms and should be populated together.,,"If dwc:eventType = ‘Inventory’, then eco:inventoryTypes should be populated.","If eco:inventoryTypes = ‘compilation’, then eco:compilationTypes and eco:compilationSourceTypes should also be populated.",eco:compilationTypes and eco:compilationSourceTypes should be populated as a pair.,,"Populate with same information provided in eco:protocolNames

",Use a controlled vocabulary where possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retain dwc:samplingEffort as a verbatim field and populate the 5 ‘eco’ terms with explicit information,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED,RECOMMENDED
Example,survey2022,survey2022_a-2,25 survey sites each with 3 1m2 quadrats,75,RV Sol 87-03-08,Trap_18 | Trap_27 | Trap_54 | Trap_96 | Annala | Kumpula,Ephemeral wetland,"Coastal sand dunes at dry oak forest edge. Vegetation: Ammophila arenaria, Betula pendula, Leymus arenarius, Pinus sylvestris","{""minimumTemperatureInDegreesFahrenheit"": 18, ""maximumTemperatureInDegreesFahrenheit"": 32}",Site flooded,Trap_138,SE,59.3168,18.0627,WGS84,"Agriculture site, Kongskilde Friluftsgård, Zealand",40,m2,580000,km2,200,m3,"POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))",epsg:4326,TRUE,2018-08-29,08:00Z,1,hour,Inventory,Open search,compilationOfExistingSourcesAndSamplingEvents,museumSpecimens,Visual survey,Visual survey,"For each site a total list of lichen species (lichenized fungi) was produced based on a careful examination of soil, wood, stone surfaces and bark of trees up to 2 m at three time periods: October-November 2014, February-December 2015 and March and May 2016. Specimens that were not possible to identify with certainty in the field were sampled and subsequently identified in the laboratory. For each species the substrate, e.g. phorophyte (host) species was recorded. All records were registered in www.svampeatlas.dk, and the nomenclature used is in accordance with this database.","See Appendix B of Brunbjerg, A.K., Bruun, H.H., Brøndum, L. et al. A systematic survey of regional multi-taxon biodiversity: evaluating strategies and coverage. BMC Ecol 19, 43 (2019). https://doi.org/10.1186/s12898-019-0260-x 

",FALSE,,TRUE,TRUE,5,TRUE,,FALSE,,FALSE,Coordinates generalized from original GPS coordinates to the nearest half degree grid cell.,Sensitive species occurrence information not reported,Notes available in the Grinnell-Miller Library,,Adult flying insects,Arthropods,Aves,FALSE,notReported,,FALSE,FALSE,,,larva,adult | juvenile,TRUE,native,invasive,TRUE,,,,FALSE,deciduous forest,urban,40 trap nights,TRUE,40 box traps deployed in the afternoon even spacings along 4 parallel 100m transects placed 50m apart and visited after sunrise the next day,40,trap nights,A. Townsend Peterson
